PartNumber,Series,Type,Manufacturer,Status,Demo,Sample,Efficiency,MinOutputVoltage,MaxOutputVoltage,OutputCurrent,OutputVoltage,MinInputVoltage,MaxInputVoltage,Size,ControlType,OutputPower,NumberOfOutputs,Ripple,Warranty,OutputType,MinOperatingTemp,MaxOperatingTemp,Application,Length,Width,Height
CSU1300ADC-3-100,CSU1300ADC,Front End PSUs DC-input,Artesyn,Active,False,False,,11.8,12.6,106.5,12.2,-72,-48,"7.28"" x 2.89""",Analog,1300,2,,2,,-5,55,IT Infrastructure,7.28,2.89,1.57
CSU1300ADC-3-101,CSU1300ADC,Front End PSUs DC-input,Artesyn,Active,False,False,,11.8,12.6,106.5,12.2,-72,-48,"7.28"" x 2.89""",Analog,1300,2,,2,,-5,55,IT Infrastructure,7.28,2.89,1.57
TF1500A12K,TF1500,Enclosed PSU,SLPower,Active,False,False,,0,12.6,125,12,90,264,"11.02"" x 5.0"" x 2.5""",,1500,1,,3,,-25,60,Industrial,11.02,5,2.5
TF1500A15K,TF1500,Enclosed PSU,SLPower,Active,False,False,,0,15.75,100,15,90,264,"11.02"" x 5.0"" x 2.5""",,1500,1,,3,,-25,60,Industrial,11.02,5,2.5
TF1500A24K,TF1500,Enclosed PSU,SLPower,Active,False,False,,0,25.2,62.5,24,90,264,"11.02"" x 5.0"" x 2.5""",,1500,1,,3,,-25,60,Industrial,11.02,5,2.5
TF1500A48K,TF1500,Enclosed PSU,SLPower,Active,False,False,,0,50.4,31.37,48,90,264,"11.02"" x 5.0"" x 2.5""",,1500,1,,3,,-25,60,Industrial,11.02,5,2.5
TF1500A60K,TF1500,Enclosed PSU,SLPower,Active,False,False,,0,63,25,60,90,264,"11.02"" x 5.0"" x 2.5""",,1500,1,,3,,-25,60,Industrial,11.02,5,2.5
NPS22-M,NPS20-M,Open Frame Low Power PSUs,Artesyn,Active,False,False,,4.5,6,8,5,90,264,"4"" x 2""",Analog,40,1,,2,,0,80,Medical,4,2,1
NPS23-M,NPS20-M,Open Frame Low Power PSUs,Artesyn,Active,False,False,,9.6,14.4,3.3,12,90,264,"4"" x 2""",Analog,40,1,,2,,0,80,Medical,4,2,1
NPS24-M,NPS20-M,Open Frame Low Power PSUs,Artesyn,Active,False,False,,12,18,2.7,15,90,264,"4"" x 2""",Analog,40,1,,2,,0,80,Medical,4,2,1
NPS25-M,NPS20-M,Open Frame Low Power PSUs,Artesyn,Active,False,False,,19.2,28.8,1.8,24,90,264,"4"" x 2""",Analog,40,1,,2,,0,80,Medical,4,2,1
NPS28-M,NPS20-M,Open Frame Low Power PSUs,Artesyn,Active,False,False,,38.4,57.6,0.84,48,90,264,"4"" x 2""",Analog,40,1,,2,,0,80,Medical,4,2,1
DS760SL-3,DS760SL,Front End PSUs AC-input,Artesyn,NotForNewDesigns,False,False,,12,12,62.3,12,90,264,"12.68"" x 2.15""",Analog,760,1,,2,,-5,50,IT Infrastructure,12.68,2.15,1.57
